ts_unix_ns,ticker,samples,latency_ns
1777428445236132356,20,512,146318
1777428445236317990,21,512,156342
1777428445236496916,22,512,149651
1777428445236670646,23,512,147341
1777428445236849731,24,512,152742
1777428445237018167,25,512,143105
1777428445237232400,26,512,182341
1777428445237442826,27,512,173442
1777428445237610475,28,512,141240
1777428445237786159,29,512,149896
1777428445237960294,30,512,145350
1777428445238131725,31,512,143754
1777428445238320227,32,512,159990
1777428445238490084,33,512,142275
1777428445238656328,34,512,140209
1777428445238833311,35,512,150750
1777428445239010683,36,512,148613
1777428445239184261,37,512,146483
1777428445239365227,38,512,148976
1777428445239535267,39,512,143216
1777428445239700217,40,512,138715
1777428445239884954,41,512,152563
1777428445240054425,42,512,141113
1777428445240235387,43,512,152653
1777428445240414921,44,512,149990
1777428445240585901,45,512,141441
1777428445240763767,46,512,152094
1777428445240939633,47,512,146906
1777428445241103931,48,512,137610
1777428445241278871,49,512,146696
1777428445241439253,50,512,133830
1777428445241596537,51,512,132302
1777428445241783816,52,512,159815
1777428445241975767,53,512,160405
1777428445242158133,54,512,152292
1777428445242341926,55,512,145735
1777428445242514873,56,512,143069
1777428445242682852,57,512,139790
1777428445242862840,58,512,152319
1777428445243035552,59,512,143365
1777428445243213617,60,512,150391
1777428445243392298,61,512,146924
1777428445243566017,62,512,145884
1777428445243742861,63,512,149470
1777428445243920144,64,512,147793
1777428445244095843,65,512,148977
1777428445244282712,66,512,158134
1777428445244456802,67,512,145301
1777428445244626790,68,512,143985
1777428445244804064,69,512,151327
1777428445244978680,70,512,146632
1777428445245146936,71,512,141699
1777428445245333045,72,512,150156
1777428445245503926,73,512,142757
1777428445245666580,74,512,136551
1777428445245830116,75,512,140090
1777428445246033014,76,512,172426
1777428445246246600,77,512,182094
1777428445246430627,78,512,151033
1777428445246602133,79,512,144011
1777428445246787039,80,512,157493
1777428445246961548,81,512,144990
1777428445247133702,82,512,143955
1777428445247321846,83,512,159399
1777428445247493241,84,512,142455
1777428445247661905,85,512,142476
1777428445247838329,86,512,150490
1777428445248014934,87,512,147620
1777428445248192548,88,512,150798
1777428445248371634,89,512,147418
1777428445248542748,90,512,144134
1777428445248709491,91,512,139602
1777428445248893314,92,512,149916
1777428445249063086,93,512,142823
1777428445249243845,94,512,152129
1777428445249422141,95,512,149364
1777428445249590691,96,512,140098
1777428445249765432,97,512,147913
1777428445249938708,98,512,144261
1777428445250108399,99,512,140262
1777428457232688839,0,512,291297
1777428457232954815,1,512,167272
1777428457233151559,2,512,163912
1777428457233370251,3,512,173360
1777428457233565523,4,512,162608
1777428457233758084,5,512,161642
1777428457233938272,6,512,148853
1777428457234112553,7,512,144699
1777428457234295129,8,512,151401
1777428457234471179,9,512,144880
1777428457234643023,10,512,143694
1777428457234822048,11,512,150303
1777428457234998056,12,512,145432
1777428457235168797,13,512,142594
1777428457235360514,14,512,150846
1777428457235532466,15,512,143200
1777428457235701851,16,512,141696
1777428457235884036,17,512,147268
1777428457236054508,18,512,140717
1777428457236242263,19,512,158314
1777428457236425994,20,512,153845
1777428457236600729,21,512,146630
1777428457236779675,22,512,151668
1777428457236955043,23,512,146685
1777428457237125581,24,512,141750
1777428457237323110,25,512,159743
1777428457237527998,26,512,171122
1777428457237735237,27,512,174910
1777428457237913846,28,512,149869
1777428457238083470,29,512,142764
1777428457238268603,30,512,154904
1777428457238445964,31,512,148658
1777428457238614891,32,512,142584
1777428457238789964,33,512,148232
1777428457238967497,34,512,147832
1777428457239137455,35,512,142756
1777428457239323294,36,512,157386
1777428457239497130,37,512,145993
1777428457239664476,38,512,140501
1777428457239843667,39,512,152234
1777428457240016530,40,512,144515
1777428457240194146,41,512,150520
1777428457240372568,42,512,146188
1777428457240544951,43,512,146297
1777428457240720065,44,512,149131
1777428457240895351,45,512,145278
1777428457241065765,46,512,144457
1777428457241248253,47,512,152803
1777428457241418415,48,512,140468
1777428457241582084,49,512,136535
1777428457241770500,50,512,157820
1777428457241958409,51,512,155945
1777428457242143049,52,512,154455
1777428457242342519,53,512,157198
1777428457242519777,54,512,145161
1777428457242687093,55,512,139156
1777428457242866417,56,512,145870
1777428457243037367,57,512,141140
1777428457243218038,58,512,152614
1777428457243397915,59,512,147153
1777428457243568908,60,512,142298
1777428457243752224,61,512,155121
1777428457243928120,62,512,145580
1777428457244098481,63,512,141593
1777428457244281520,64,512,153469
1777428457244458988,65,512,148489
1777428457244628415,66,512,142648
1777428457244808943,67,512,153455
1777428457244986655,68,512,148057
1777428457245157959,69,512,144533
1777428457245350066,70,512,153187
1777428457245523682,71,512,145030
1777428457245682296,72,512,131218
1777428457245850775,73,512,145119
1777428457246055832,74,512,171224
1777428457246273401,75,512,182969
1777428457246453775,76,512,148472
1777428457246623082,77,512,142137
1777428457246798179,78,512,148387
1777428457246971650,79,512,144300
1777428457247141186,80,512,142360
1777428457247327818,81,512,157606
1777428457247501448,82,512,145046
1777428457247669397,83,512,141063
1777428457247850207,84,512,153306
1777428457248022170,85,512,143187
1777428457248197609,86,512,149064
1777428457248376450,87,512,146977
1777428457248548354,88,512,144955
1777428457248721392,89,512,146300
1777428457248898182,90,512,147028
1777428457249066632,91,512,142006
1777428457249250321,92,512,155017
1777428457249427452,93,512,147584
1777428457249599017,94,512,143988
1777428457249776016,95,512,150649
1777428457249948662,96,512,142391
1777428457250131347,97,512,153031
1777428457250330940,98,512,168538
1777428457250520311,99,512,158456
1777428469233356379,0,512,309098
1777428469233620999,1,512,169414
1777428469233813935,2,512,162871
1777428469234004686,3,512,160074
1777428469234207752,4,512,170942
1777428469234402287,5,512,159140
1777428469234586082,6,512,152927
1777428469234767265,7,512,151713
1777428469234945768,8,512,147351
1777428469235118719,9,512,143106
1777428469235303129,10,512,153723
1777428469235479491,11,512,145358
1777428469235653573,12,512,145170
1777428469235838588,13,512,155839
1777428469236013647,14,512,144660
1777428469236195608,15,512,153961
1777428469236373522,16,512,145580
1777428469236548104,17,512,145834
1777428469236723197,18,512,146686
1777428469236902288,19,512,149077
1777428469237076995,20,512,146512
1777428469237268955,21,512,162900
1777428469237447710,22,512,149255
